"App","Architecture Team","Asset Type","CCM Lite","CIS Asset Type","CIS Description","CIS Safeguard","CIS Security Function","CIS Title","CSF Category","CSF Category Identifier","CSF Function","Compute","Control ID","Control Specification","Control Title","Cybersecurity","Data","Description","GRC Team","HR","ISO 27001 Asset Type","ISO 27001 CIS Safeguard","ISO 27001 Description","ISO 27001 Security Function","ISO 27001 Title","IaaS","Internal Audit","Legal/Privacy","Metrics","Network","Objective","Operations","PaaS","Phys","Priority","Process Steps","Responsible Team","SW Development","SaaS","Scope","Security Function","Storage","Supply Chain Management","Title"
"TRUE","TRUE","IT systems","No","IT systems","Regularly test secure configurations to ensure they are correctly implemented and operating effectively.","3.3","Protect","Regularly Test Secure Configurations","Identity Management, Authentication, and Access Control","PR.AA","Protect (PR)","TRUE","AIS-05","Implement a testing strategy, including criteria for acceptance of
new information systems, upgrades and new versions, which provides application
security assurance and maintains compliance while enabling organizational speed
of delivery goals. Automate when applicable and possible.","Automated Application Security Testing","TRUE","TRUE","Regularly test secure configurations to ensure they are correctly implemented and operating effectively.","TRUE","FALSE","IT systems","3.3","Regularly test secure configurations to ensure they are correctly implemented and operating effectively.","Protect","Regularly Test Secure Configurations","Shared","TRUE","FALSE","['Number of unauthorized access incidents', 'Frequency of policy updates', 'Compliance rate with access control policies']","TRUE","Control access to data.","TRUE","Shared","TRUE","Priority 3","['Define Access Control Policies', 'Implement Access Control Mechanisms', 'Regularly Monitor Access Control', 'Update Policies as Needed']","IT Security Team","TRUE","Shared","All sensitive data within the organization.","Protect","TRUE","TRUE","Regularly Test Secure Configurations"
"TRUE","TRUE","IT systems","Yes","IT systems","Implement and manage a configuration management system that documents and tracks all configuration changes.","3.4","Protect","Implement and Manage a Configuration Management System","Identity Management, Authentication, and Access Control","PR.AA","Protect (PR)","TRUE","AIS-06","Establish and implement strategies and capabilities for secure, standardized,
and compliant application deployment. Automate where possible.","Automated Secure Application Deployment","TRUE","TRUE","Implement and manage a configuration management system that documents and tracks all configuration changes.","TRUE","FALSE","IT systems","3.4","Implement and manage a configuration management system that documents and tracks all configuration changes.","Protect","Implement and Manage a Configuration Management System","Shared","TRUE","FALSE","['Number of unauthorized access incidents', 'Frequency of policy updates', 'Compliance rate with data protection policies']","TRUE","Protect data from unauthorized access.","TRUE","Shared","TRUE","Priority 3","['Define Data Protection Policies', 'Implement Data Encryption and Access Controls', 'Regularly Monitor Data Protection', 'Update Policies as Needed']","IT Security Team","TRUE","CSP-Owned","All data within the organization.","Protect","TRUE","TRUE","Implement and Manage a Configuration Management System"
"TRUE","TRUE","Vulnerability management","Yes","Vulnerability management","Develop and maintain a process for identifying, prioritizing, and mitigating vulnerabilities in enterprise assets.","3.5","Protect","Implement a Vulnerability Management Process","Identity Management, Authentication, and Access Control","PR.AA","Protect (PR)","TRUE","AIS-07","Define and implement a process to remediate application security
vulnerabilities, automating remediation when possible.","Application Vulnerability Remediation","TRUE","TRUE","Develop and maintain a process for identifying, prioritizing, and mitigating vulnerabilities in enterprise assets.","TRUE","TRUE","Vulnerability management","3.5","Develop and maintain a process for identifying, prioritizing, and mitigating vulnerabilities in enterprise assets.","Protect","Implement a Vulnerability Management Process","Shared","TRUE","TRUE","['Number of data disposal incidents', 'Frequency of policy updates', 'Compliance rate with data disposal policies']","TRUE","Ensure secure data disposal.","TRUE","Shared","TRUE","Priority 3","['Define Data Disposal Policies', 'Implement Secure Disposal Methods', 'Regularly Monitor Disposal Processes', 'Update Policies as Needed']","IT Security Team","TRUE","Shared","All data scheduled for disposal within the organization.","Protect","TRUE","TRUE","Implement a Vulnerability Management Process"
"TRUE","TRUE","Data","Yes","Data","Ensure that secure data recovery processes are established, documented, and tested regularly.","5.1","Recover","Establish Secure Data Recovery Processes","Continuous Monitoring","DE.CM","Detect (DE)","TRUE","BCR-01","Establish, document, approve, communicate, apply, evaluate and maintain
business continuity management and operational resilience policies and procedures.
Review and update the policies and procedures at least annually.","Business Continuity Management Policy and Procedures","TRUE","TRUE","Ensure that secure data recovery processes are established, documented, and tested regularly.","TRUE","TRUE","Data","5.1","Ensure that secure data recovery processes are established, documented, and tested regularly.","Recover","Establish Secure Data Recovery Processes","Shared","TRUE","TRUE","['Number of continuity plan activations', 'Frequency of policy updates', 'Compliance rate with business continuity policies']","TRUE","Ensure business continuity.","TRUE","Shared","TRUE","Priority 3","['Define Business Continuity Policies', 'Develop Business Continuity Plans', 'Regularly Test Continuity Plans', 'Update Plans as Needed']","Business Continuity Team","TRUE","Shared","All critical business functions.","Recover","TRUE","TRUE","Establish Secure Data Recovery Processes"
"TRUE","TRUE","Data","Yes","Data","Implement data loss prevention measures to protect against unauthorized data access or loss.","5.2","Protect","Implement Data Loss Prevention Measures","Identity Management, Authentication, and Access Control","PR.AA","Protect (PR)","TRUE","BCR-02","Determine the impact of business disruptions and risks to establish
criteria for developing business continuity and operational resilience strategies
and capabilities.","Risk Assessment and Impact Analysis","TRUE","TRUE","Implement data loss prevention measures to protect against unauthorized data access or loss.","TRUE","TRUE","Data","5.2","Implement data loss prevention measures to protect against unauthorized data access or loss.","Protect","Implement Data Loss Prevention Measures","Shared","TRUE","TRUE","['Number of disaster recovery activations', 'Frequency of policy updates', 'Compliance rate with disaster recovery policies']","TRUE","Plan for disaster recovery.","TRUE","Shared","TRUE","Priority 3","['Define Disaster Recovery Policies', 'Develop Disaster Recovery Plans', 'Regularly Test Recovery Plans', 'Update Plans as Needed']","Business Continuity Team","TRUE","Shared","All critical IT systems.","Protect","TRUE","TRUE","Implement Data Loss Prevention Measures"
"TRUE","TRUE","Data","Yes","Data","Ensure that data is securely disposed of when it is no longer needed, using methods such as shredding or cryptographic erasure.","5.3","Protect","Ensure Secure Data Disposal","Identity Management, Authentication, and Access Control","PR.AA","Protect (PR)","TRUE","BCR-03","Establish strategies to reduce the impact of, withstand, and recover
from business disruptions within risk appetite.","Business Continuity Strategy","TRUE","TRUE","Ensure that data is securely disposed of when it is no longer needed, using methods such as shredding or cryptographic erasure.","TRUE","TRUE","Data","5.3","Ensure that data is securely disposed of when it is no longer needed, using methods such as shredding or cryptographic erasure.","Protect","Ensure Secure Data Disposal","Shared","TRUE","TRUE","['Number of resilience incidents', 'Frequency of policy updates', 'Compliance rate with resilience policies']","TRUE","Maintain operational resilience.","TRUE","Shared","TRUE","Priority 3","['Define Operational Resilience Policies', 'Implement Resilience Measures', 'Regularly Monitor Resilience', 'Update Policies as Needed']","Business Continuity Team","TRUE","Shared","All business operations.","Protect","TRUE","TRUE","Ensure Secure Data Disposal"
"TRUE","TRUE","Data","No","Data","Develop and enforce a data protection policy to ensure the security of sensitive data.","6.1","Protect","Implement a Data Protection Policy","Identity Management, Authentication, and Access Control","PR.AA","Protect (PR)","TRUE","BCR-04","Establish, document, approve, communicate, apply, evaluate and maintain
a business continuity plan based on the results of the operational resilience
strategies and capabilities.","Business Continuity Planning","TRUE","TRUE","Develop and enforce a data protection policy to ensure the security of sensitive data.","TRUE","TRUE","Data","6.1","Develop and enforce a data protection policy to ensure the security of sensitive data.","Protect","Implement a Data Protection Policy","Shared","TRUE","TRUE","['Number of tests conducted', 'Number of test failures', 'Compliance rate with testing policies']","TRUE","Test business continuity plans.","TRUE","Shared","TRUE","Priority 3","['Define Testing Policies', 'Develop Testing Plans', 'Conduct Regular Tests', 'Update Plans Based on Test Results']","Business Continuity Team","TRUE","Shared","All critical business functions.","Protect","TRUE","TRUE","Implement a Data Protection Policy"
"TRUE","TRUE","Data","No","Data","Ensure that sensitive data is encrypted both in transit and at rest, according to organizational policies.","6.2","Protect","Implement Data Encryption","Identity Management, Authentication, and Access Control","PR.AA","Protect (PR)","TRUE","BCR-05","Develop, identify, and acquire documentation that is relevant to
support the business continuity and operational resilience programs. Make the
documentation available to authorized stakeholders and review periodically.","Documentation","TRUE","TRUE","Ensure that sensitive data is encrypted both in transit and at rest, according to organizational policies.","TRUE","TRUE","Data","6.2","Ensure that sensitive data is encrypted both in transit and at rest, according to organizational policies.","Protect","Implement Data Encryption","Shared","TRUE","TRUE","['Number of data recovery incidents', 'Frequency of policy updates', 'Compliance rate with data recovery policies']","TRUE","Ensure data recovery capabilities.","TRUE","Shared","TRUE","Priority 3","['Define Data Recovery Policies', 'Implement Data Recovery Solutions', 'Regularly Test Data Recovery', 'Update Policies as Needed']","Business Continuity Team","TRUE","Shared","All critical data.","Protect","TRUE","TRUE","Implement Data Encryption"
"TRUE","TRUE","Data","No","Data","Establish and enforce access controls to ensure that only authorized individuals can access sensitive data.","6.3","Protect","Implement Access Controls for Sensitive Data","Technology Infrastructure Resilience","PR.IR","Protect (PR)","TRUE","BCR-06","Exercise and test business continuity and operational resilience
plans at least annually or upon significant changes.","Business Continuity Exercises","TRUE","TRUE","Establish and enforce access controls to ensure that only authorized individuals can access sensitive data.","TRUE","TRUE","Data","6.3","Establish and enforce access controls to ensure that only authorized individuals can access sensitive data.","Protect","Implement Access Controls for Sensitive Data","Shared","TRUE","TRUE","['Number of backup failures', 'Frequency of policy updates', 'Compliance rate with backup policies']","TRUE","Manage backup processes.","TRUE","Shared","TRUE","Priority 3","['Define Backup Policies', 'Implement Backup Solutions', 'Regularly Monitor Backups', 'Update Policies as Needed']","Business Continuity Team","TRUE","Shared","All organizational data.","Protect","TRUE","TRUE","Implement Access Controls for Sensitive Data"
"TRUE","TRUE","Data","No","Data","Regularly review and update data protection measures to address new threats and vulnerabilities.","6.4","Protect","Regularly Review Data Protection Measures","Technology Infrastructure Resilience","PR.IR","Protect (PR)","TRUE","BCR-07","Establish communication with stakeholders and participants in the
course of business continuity and resilience procedures.","Communication","TRUE","TRUE","Regularly review and update data protection measures to address new threats and vulnerabilities.","TRUE","TRUE","Data","6.4","Regularly review and update data protection measures to address new threats and vulnerabilities.","Protect","Regularly Review Data Protection Measures","Shared","TRUE","TRUE","['Number of service outages', 'Frequency of policy updates', 'Compliance rate with availability policies']","TRUE","Ensure availability of services.","TRUE","Shared","TRUE","Priority 3","['Define Availability Policies', 'Implement Availability Measures', 'Regularly Monitor Availability', 'Update Policies as Needed']","Business Continuity Team","TRUE","Shared","All critical services.","Protect","TRUE","TRUE","Regularly Review Data Protection Measures"
"FALSE","TRUE","Data","Yes","Data","Develop and implement a data retention policy that specifies how long data should be retained and how it should be securely disposed of.","7.1","Protect","Implement a Data Retention Policy","Technology Infrastructure Resilience","PR.IR","Protect (PR)","FALSE","BCR-08","Periodically backup data stored in the cloud. Ensure the confidentiality,
integrity and availability of the backup, and verify data restoration from backup
for resiliency.","Backup","TRUE","TRUE","Develop and implement a data retention policy that specifies how long data should be retained and how it should be securely disposed of.","TRUE","TRUE","Data","7.1","Develop and implement a data retention policy that specifies how long data should be retained and how it should be securely disposed of.","Protect","Implement a Data Retention Policy","Shared","TRUE","TRUE","['Number of infrastructure incidents', 'Frequency of policy updates', 'Compliance rate with protection policies']","FALSE","Protect critical infrastructure.","TRUE","Shared","FALSE","Priority 3","['Define Infrastructure Protection Policies', 'Implement Protection Measures', 'Regularly Monitor Protection', 'Update Policies as Needed']","Business Continuity Team","TRUE","Shared","All critical infrastructure components.","Protect","TRUE","TRUE","Implement a Data Retention Policy"
"TRUE","TRUE","Data","Yes","Data","Regularly audit data retention practices to ensure compliance with organizational policies and legal requirements.","7.2","Protect","Conduct Regular Audits of Data Retention Practices","Technology Infrastructure Resilience","PR.IR","Protect (PR)","TRUE","BCR-09","Establish, document, approve, communicate, apply, evaluate and maintain
a disaster response plan to recover from natural and man-made disasters. Update
the plan at least annually or upon significant changes.","Disaster Response Plan","TRUE","TRUE","Regularly audit data retention practices to ensure compliance with organizational policies and legal requirements.","TRUE","TRUE","Data","7.2","Regularly audit data retention practices to ensure compliance with organizational policies and legal requirements.","Protect","Conduct Regular Audits of Data Retention Practices","Shared","TRUE","TRUE","['Number of incidents responded to', 'Frequency of policy updates', 'Compliance rate with response policies']","TRUE","Implement incident response plans.","TRUE","Shared","TRUE","Priority 3","['Define Incident Response Policies', 'Develop Response Plans', 'Regularly Test Response Plans', 'Update Plans Based on Tests']","Business Continuity Team","TRUE","Shared","All organizational units.","Protect","TRUE","TRUE","Conduct Regular Audits of Data Retention Practices"
"TRUE","TRUE","Data","No","Data","Develop and enforce a data classification scheme to ensure that data is appropriately protected based on its sensitivity.","7.3","Protect","Establish a Data Classification Scheme","Technology Infrastructure Resilience","PR.IR","Protect (PR)","TRUE","BCR-10","Exercise the disaster response plan annually or upon significant
changes, including if possible local emergency authorities.","Response Plan Exercise","TRUE","TRUE","Develop and enforce a data classification scheme to ensure that data is appropriately protected based on its sensitivity.","TRUE","TRUE","Data","7.3","Develop and enforce a data classification scheme to ensure that data is appropriately protected based on its sensitivity.","Protect","Establish a Data Classification Scheme","Shared","TRUE","TRUE","['Number of communication failures', 'Frequency of policy updates', 'Compliance rate with communication policies']","TRUE","Manage emergency communications.","TRUE","Shared","TRUE","Priority 3","['Define Communication Policies', 'Develop Communication Plans', 'Regularly Test Communication Plans', 'Update Plans Based on Tests']","Business Continuity Team","TRUE","Shared","All organizational communications.","Protect","TRUE","TRUE","Establish a Data Classification Scheme"
"FALSE","TRUE","Incident response","No","Incident response","Establish and maintain an incident response plan to address and mitigate security incidents effectively.","8.1","Respond","Implement an Incident Response Plan","Incident Management","RS.MA","Respond (RS)","TRUE","BCR-11","Supplement business-critical equipment with redundant equipment independently
located at a reasonable minimum distance in accordance with applicable industry
standards.","Equipment Redundancy","TRUE","FALSE","Establish and maintain an incident response plan to address and mitigate security incidents effectively.","TRUE","FALSE","Incident response","8.1","Establish and maintain an incident response plan to address and mitigate security incidents effectively.","Respond","Implement an Incident Response Plan","CSP-Owned","TRUE","TRUE","['Number of crisis management activations', 'Frequency of policy updates', 'Compliance rate with crisis management policies']","TRUE","Maintain crisis management capabilities.","TRUE","CSP-Owned","TRUE","Priority 3","['Define Crisis Management Policies', 'Develop Crisis Management Plans', 'Regularly Test Crisis Plans', 'Update Plans Based on Tests']","Business Continuity Team","FALSE","CSP-Owned","All crisis management activities.","Respond","TRUE","TRUE","Implement an Incident Response Plan"
"TRUE","TRUE","Training","Yes","Training","Develop and maintain a security awareness and training program to educate employees about security policies and procedures.","9.1","Protect","Implement a Security Awareness and Training Program","Technology Infrastructure Resilience","PR.IR","Protect (PR)","TRUE","CCC-01","Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for managing the risks associated with applying changes
to organization assets, including application, systems, infrastructure, configuration,
etc., regardless of whether the assets are managed internally or externally
(i.e., outsourced). Review and update the policies and procedures at least annually.","Change Management Policy and Procedures","FALSE","TRUE","Develop and maintain a security awareness and training program to educate employees about security policies and procedures.","TRUE","FALSE","Training","9.1","Develop and maintain a security awareness and training program to educate employees about security policies and procedures.","Protect","Implement a Security Awareness and Training Program","Shared","TRUE","FALSE","['Number of change incidents', 'Frequency of policy updates', 'Compliance rate with change management policies']","TRUE","Ensure change management processes.","FALSE","Shared","TRUE","Priority 3","['Define Change Management Policies', 'Develop Change Management Processes', 'Regularly Monitor Change Processes', 'Update Policies as Needed']","IT Security Team","FALSE","Shared","All organizational changes.","Protect","TRUE","FALSE","Implement a Security Awareness and Training Program"
"TRUE","TRUE","Training","Yes","Training","Ensure that security awareness training is conducted regularly for all employees.","9.2","Protect","Conduct Regular Security Awareness Training","Technology Infrastructure Resilience","PR.IR","Protect (PR)","TRUE","CCC-02","Follow a defined quality change control, approval and testing process
with established baselines, testing, and release standards.","Quality Testing","TRUE","TRUE","Ensure that security awareness training is conducted regularly for all employees.","TRUE","TRUE","Training","9.2","Ensure that security awareness training is conducted regularly for all employees.","Protect","Conduct Regular Security Awareness Training","Shared","TRUE","TRUE","['Number of unauthorized IT changes', 'Frequency of policy updates', 'Compliance rate with change control policies']","TRUE","Control changes to IT systems.","TRUE","Shared","TRUE","Priority 3","['Define IT Change Control Policies', 'Develop Change Control Processes', 'Regularly Monitor IT Changes', 'Update Policies as Needed']","IT Security Team","TRUE","Shared","All IT systems.","Protect","TRUE","TRUE","Conduct Regular Security Awareness Training"
"TRUE","TRUE","Training","No","Training","Encourage a culture of security awareness and responsibility within the organization.","9.3","Protect","Implement a Security-First Culture","Technology Infrastructure Resilience","PR.IR","Protect (PR)","TRUE","CCC-03","Manage the risks associated with applying changes to organization
assets, including application, systems, infrastructure, configuration, etc.,
regardless of whether the assets are managed internally or externally (i.e.,
outsourced).","Change Management Technology","TRUE","TRUE","Encourage a culture of security awareness and responsibility within the organization.","TRUE","FALSE","Training","9.3","Encourage a culture of security awareness and responsibility within the organization.","Protect","Implement a Security-First Culture","Shared","TRUE","FALSE","['Number of unapproved changes', 'Frequency of policy updates', 'Compliance rate with approval policies']","TRUE","Ensure change approval processes.","TRUE","Shared","TRUE","Priority 3","['Define Change Approval Policies', 'Develop Approval Processes', 'Regularly Monitor Approvals', 'Update Policies as Needed']","IT Security Team","TRUE","Shared","All organizational changes.","Protect","TRUE","FALSE","Implement a Security-First Culture"
